,artist,score,best_new_music,author,author_type,pub_weekday,pub_day,pub_month,pub_year,genre,label
0,massive attack,9.3,0,nate patrin,contributor,6,8,1,2017,electronic,virgin
1,krallice,7.9,0,zoe camp,contributor,5,7,1,2017,metal,hathenter
2,uranium club,7.3,0,david glickman,contributor,5,7,1,2017,rock,fashionable idiots
3,uranium club,7.3,0,david glickman,contributor,5,7,1,2017,rock,static shock
4,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,4,6,1,2017,rock,kill rock stars
5,"kleenex, liliput",9.0,1,jenn pelly,associate reviews editor,4,6,1,2017,rock,mississippi
6,taso,8.1,0,kevin lozano,tracks coordinator,4,6,1,2017,electronic,teklife
7,various artists,7.4,0,vanessa okoth-obbo,contributor,3,5,1,2017,,rca
8,little simz,7.1,0,katherine st. asaph,contributor,3,5,1,2017,rap,age 101
9,yotam avni,7.0,0,andy beta,contributor,3,5,1,2017,electronic,stroboscopic artefacts
10,brian eno,7.7,0,andy beta,contributor,2,4,1,2017,experimental,warp
11,the lox,5.3,0,ian cohen,contributor,2,4,1,2017,rap,roc nation
12,harry bertoia,8.0,0,marc masters,contributor,2,4,1,2017,experimental,important
13,run the jewels,8.6,1,sheldon pearce,associate staff writer,1,3,1,2017,rap,self-released
14,steven warwick,7.6,0,thea ballard,contributor,1,3,1,2017,electronic,pan
15,yasiin bey,3.5,0,marcus j. moore,contributor,0,2,1,2017,rap,a country called earth
16,yasiin bey,3.5,0,marcus j. moore,contributor,0,2,1,2017,rap,awge
17,"smoke dza, pete rock",7.4,0,dean van nguyen,contributor,0,2,1,2017,rap,babygrande
18,various artists,6.6,0,louis pattison,contributor,0,2,1,2017,,soul jazz
19,senyawa,7.4,0,philip sherburne,contributing editor,0,2,1,2017,experimental,cejero
20,"chance the rapper, jeremih",8.1,0,sheldon pearce,associate staff writer,4,30,12,2016,pop/r&b,self-released
21,"chance the rapper, jeremih",8.1,0,sheldon pearce,associate staff writer,4,30,12,2016,rap,self-released
22,jamire williams,7.2,0,benjamin scheim,contributor,4,30,12,2016,experimental,leaving
23,the-dream,7.0,0,rebecca haithcoat,contributor,3,29,12,2016,pop/r&b,radio killa
24,the-dream,7.0,0,rebecca haithcoat,contributor,3,29,12,2016,rap,radio killa
25,worm ouroboros,7.5,0,sam sodomsky,associate staff writer,3,29,12,2016,metal,profound lore
26,nine inch nails,6.3,0,benjamin scheim,contributor,2,28,12,2016,rock,self-released
27,elder ones,7.8,0,seth colter walls,contributor,2,28,12,2016,experimental,northern spy
28,the microphones,6.5,0,benjamin scheim,contributor,1,27,12,2016,experimental,p.w. elverum & sun
29,the microphones,6.5,0,benjamin scheim,contributor,1,27,12,2016,rock,p.w. elverum & sun
30,ben frost,7.3,0,brian howe,contributor,1,27,12,2016,electronic,bedroom community
31,kacey musgraves,6.8,0,marc hogan,senior staff writer,4,23,12,2016,folk/country,mercury
32,jay som,8.2,0,quinn moreland,assistant editor,4,23,12,2016,rock,polyvinyl
33,rashad becker,6.8,0,andy beta,contributor,4,23,12,2016,electronic,pan
34,ray charles,9.0,1,seth colter-walls,contributor,3,22,12,2016,jazz,challenge
35,ab-soul,4.4,0,sheldon pearce,associate staff writer,3,22,12,2016,rap,top dawg entertainment
36,pantera,7.7,0,savy reyes-kulkarni,contributor,3,22,12,2016,metal,rhino
37,gucci mane,7.6,0,renato pagnani,contributor,2,21,12,2016,rap,1017 brick squad
38,mica levi,7.1,0,kevin lozano,tracks coordinator,2,21,12,2016,experimental,milan
39,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rap,republic
40,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rap,wicked awesome
41,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rock,republic
42,kid cudi,6.7,0,matthew strauss,associate editor,1,20,12,2016,rock,wicked awesome
43,sammus,7.2,0,sheldon pearce,associate staff writer,1,20,12,2016,rap,don giovanni
44,hodgy,5.0,0,matthew strauss,associate editor,0,19,12,2016,rap,columbia
45,jeff parker,8.0,0,philip sherburne,contributing editor,0,19,12,2016,jazz,eremite
46,a-trak,6.4,0,andy beta,contributor,5,17,12,2016,electronic,fool's gold
47,a-trak,6.4,0,andy beta,contributor,5,17,12,2016,rap,fool's gold
48,jess williamson,7.7,0,benjamin scheim,contributor,5,17,12,2016,,brutal honest
49,kevin abstract,6.4,0,david turner,contributor,5,17,12,2016,rap,brockhampton
50,kevin abstract,6.4,0,david turner,contributor,5,17,12,2016,rap,empire
51,adr,7.1,0,thea ballard,contributor,5,17,12,2016,,pan
52,deadmau5,5.9,0,philip sherburne,contributing editor,4,16,12,2016,electronic,mau5trap
53,jessy lanza,6.5,0,vanessa okoth-obbo,contributor,4,16,12,2016,pop/r&b,hyperdub
54,peter broderick,6.7,0,benjamin scheim,contributor,4,16,12,2016,experimental,erased tapes
55,qasim naqvi,7.5,0,seth colter walls,contributor,4,16,12,2016,experimental,new amsterdam
56,post malone,4.5,0,matthew ramirez,contributor,3,15,12,2016,rap,republic
57,bob dylan,9.3,0,jesse jarnow,contributor,3,15,12,2016,rock,columbia legacy
58,"ricardo villalobos, umho",7.0,0,andrew gaerig,contributor,3,15,12,2016,electronic,drumma
59,peder mannerfelt,7.1,0,louis pattison,contributor,3,15,12,2016,electronic,numbers
60,j. cole,6.7,0,paul a. thompson,contributor,2,14,12,2016,rap,dreamville
61,j. cole,6.7,0,paul a. thompson,contributor,2,14,12,2016,rap,roc nation
62,pink floyd,8.8,1,jesse jarnow,contributor,2,14,12,2016,rock,legacy
63,flume,6.6,0,nathan reese,contributor,2,14,12,2016,electronic,mom & pop
64,gaye su akyol,7.4,0,andy beta,contributor,2,14,12,2016,global,glitterbeat
65,jeff buckley,8.0,0,ryan dombal,senior editor,6,11,12,2016,rock,columbia
66,various artists,4.8,0,jayson greene,senior editor,5,10,12,2016,,atlantic
67,saba,7.0,0,sheldon pearce,associate staff writer,5,10,12,2016,rap,self-released
68,various artists,8.4,1,andy beta,contributor,5,10,12,2016,,numero group
69,simian mobile disco,6.8,0,cameron cook,contributor,5,10,12,2016,electronic,delicacies
70,simian mobile disco,6.8,0,cameron cook,contributor,5,10,12,2016,rock,delicacies
71,gas,9.5,1,andy beta,contributor,4,9,12,2016,electronic,kompakt
72,kodie shane,7.8,0,sheldon pearce,associate staff writer,4,9,12,2016,rap,epic
73,the orchestra of syrian musicians,8.0,0,kevin lozano,tracks coordinator,4,9,12,2016,global,transgressive
74,blessed initiative,7.5,0,saby reyes-kulkarni,contributor,4,9,12,2016,electronic,subtext
75,neil young,6.7,0,sam sodomsky,associate staff writer,3,8,12,2016,rock,reprise
76,soundgarden,8.3,0,saby reyes-kulkarni,contributor,3,8,12,2016,rock,a&m
77,soundgarden,8.3,0,saby reyes-kulkarni,contributor,3,8,12,2016,rock,ume
78,nick hook,7.0,0,mehan jayasuriya,contributor,3,8,12,2016,electronic,fool's gold
79,kjartan sveinsson,7.8,0,ben scheim,contributor,3,8,12,2016,experimental,bel-air glamour records
80,the rolling stones,6.9,0,stuart berman,contributor,2,7,12,2016,rock,polydor
81,"gucci mane, lil uzi vert",6.8,0,israel daramola,contributor,2,7,12,2016,rap,1017 brick squad
82,young male,7.4,0,philip sherburne,contributing editor,2,7,12,2016,electronic,white material
83,alex izenberg,6.3,0,evan rytlewski,contributor,2,7,12,2016,pop/r&b,domino
84,childish gambino,7.2,0,matthew strauss,associate editor,1,6,12,2016,rap,glassnote
85,fetty wap,6.4,0,sheldon pearce,associate staff writer,1,6,12,2016,rap,self-released
86,miranda lambert,7.8,0,sam sodomsky,associate staff writer,1,6,12,2016,folk/country,sony
87,miranda lambert,7.8,0,sam sodomsky,associate staff writer,1,6,12,2016,folk/country,vanner
88,denitia and sene,6.6,0,andy beta,contributor,1,6,12,2016,pop/r&b,input
89,john legend,7.0,0,marcus j. moore,contributor,0,5,12,2016,pop/r&b,columbia
90,"yoko ono, john lennon",6.8,1,seth colter walls,contributor,0,5,12,2016,experimental,chimera
91,"yoko ono, john lennon",6.8,1,seth colter walls,contributor,0,5,12,2016,experimental,secretly canadian
92,"yoko ono, john lennon",6.8,1,seth colter walls,contributor,0,5,12,2016,rock,chimera
93,"yoko ono, john lennon",6.8,1,seth colter walls,contributor,0,5,12,2016,rock,secretly canadian
94,coldcut,5.2,0,philip sherburne,contributing editor,0,5,12,2016,electronic,ahead of our time
95,coldcut,5.2,0,philip sherburne,contributing editor,0,5,12,2016,jazz,ahead of our time
96,"joan as police woman, benjamin lazar davis",6.9,0,saby reyes-kulkarni,contributor,0,5,12,2016,pop/r&b,reveal
97,"joan as police woman, benjamin lazar davis",6.9,0,saby reyes-kulkarni,contributor,0,5,12,2016,rock,reveal
98,brand new,8.5,0,ian cohen,contributor,6,4,12,2016,rock,interscope
99,brand new,8.5,0,ian cohen,contributor,6,4,12,2016,rock,tiny evil
100,sun ra,8.7,1,dean van nguyen,contributor,5,3,12,2016,jazz,strut
101,dungen,6.9,0,daniel martin-mccormick,contributor,5,3,12,2016,rock,mexican summer
102,"mica levi, oliver coates",7.7,0,thea ballard,contributor,5,3,12,2016,experimental,slipdisc
103,jay daniel,7.5,0,jay balfour,contributor,5,3,12,2016,electronic,technicolour
104,r.e.m.,8.4,0,evan rytlewski,contributor,4,2,12,2016,rock,concord bicycle
105,bruno mars,6.2,0,katherine st. asaph,contributor,4,2,12,2016,pop/r&b,atlantic
106,keita sano,7.4,0,drew gaerig,contributor,4,2,12,2016,electronic,rett i fletta
107,tredici bacci,7.0,0,saby reyes-kulkarni,contributor,4,2,12,2016,jazz,nna tapes
108,burial,6.9,0,mark richardson,executive editor,3,1,12,2016,electronic,hyperdub
109,burial,6.9,0,mark richardson,executive editor,3,1,12,2016,experimental,hyperdub
110,yg,7.2,0,paul a. thompson,contributor,3,1,12,2016,rap,def jam
111,you blew it!,7.2,0,ian cohen,contributor,3,1,12,2016,rock,triple crown
112,suzanne kraft,8.0,0,philip sherburne,contributing editor,3,1,12,2016,electronic,melody as truth
113,the weeknd,6.7,0,mehan jayasuriya,contributor,2,30,11,2016,pop/r&b,republic
114,various artists,6.2,0,thea ballard,contributor,2,30,11,2016,,pc music
115,monster rally,6.5,0,paul thompson,contributor,2,30,11,2016,electronic,gold robot
116,"steve reich, terry riley",7.2,0,daniel martin-mccormick,contributor,2,30,11,2016,experimental,forced exposure
117,justice,5.2,0,mehan jayasuriya,contributor,1,29,11,2016,electronic,because music
118,justice,5.2,0,mehan jayasuriya,contributor,1,29,11,2016,electronic,ed banger
119,demdike stare,8.2,0,philip sherburne,contributing editor,1,29,11,2016,electronic,modern love
120,bully fae,6.5,0,kevin lozano,tracks coordinator,1,29,11,2016,electronic,vague terrain
121,rainbow arabia,6.5,0,"edwin ""stats"" houghton",,1,29,11,2016,pop/r&b,time no place
122,kate bush,8.5,1,laura snapes,contributor,0,28,11,2016,pop/r&b,concord
123,kate bush,8.5,1,laura snapes,contributor,0,28,11,2016,pop/r&b,fish people
124,e-40,6.8,0,renato pagnani,contributor,0,28,11,2016,rap,heavy on the grind
125,meredith monk,8.1,0,seth colter walls,contributor,0,28,11,2016,experimental,ecm new series
126,pavo pavo,7.2,0,cameron cook,contributor,0,28,11,2016,pop/r&b,bella union
127,via app,7.4,0,kevin lozano,tracks coordinator,0,28,11,2016,electronic,break world
128,ice cube,9.5,0,eric harvey,contributor,6,27,11,2016,rap,priority
129,dawn richard,8.0,0,brad nelson,contributor,5,26,11,2016,pop/r&b,local action
130,dawn richard,8.0,0,brad nelson,contributor,5,26,11,2016,pop/r&b,our dawn
131,"oneida, rhys chatham",7.8,0,jesse jarnow,contributor,5,26,11,2016,experimental,northern spy
132,"oneida, rhys chatham",7.8,0,jesse jarnow,contributor,5,26,11,2016,rock,northern spy
133,sarah davachi,7.5,0,philip sherburne,contributing editor,5,26,11,2016,electronic,important
134,vicky chow,7.3,0,seth colter walls,contributor,5,26,11,2016,experimental,new amsterdam
135,"gucci mane, future",6.9,0,paul a. thompson,contributor,2,23,11,2016,rap,self-released
136,gillian welch,7.9,0,jonathan bernstein,contributor,2,23,11,2016,rock,acony
137,jeff rosenstock,8.0,0,ian cohen,contributor,2,23,11,2016,rock,sideonedummy
138,kristin hersh,7.5,0,katherine st. asaph,contributor,2,23,11,2016,rock,omnibus
139,metallica,6.5,0,zoe camp,contributor,1,22,11,2016,metal,blackened recordings
140,porter ricks,8.0,0,philip sherburne,contributing editor,1,22,11,2016,electronic,tresor
141,mike watt,8.0,0,caryn rose,contributor,1,22,11,2016,rock,legacy
142,daniel bachman,7.3,0,marc masters,contributor,1,22,11,2016,folk/country,three lobed
143,autechre,8.2,1,andy beta,contributor,0,21,11,2016,electronic,warp
144,body/head,7.4,0,jes skolnik,contributor,0,21,11,2016,rock,matador
145,his name is alive,6.6,0,miles raymer,contributor,0,21,11,2016,rock,london london
146,radian,8.0,0,saby reyes-kulkarni,contributor,0,21,11,2016,rock,thrill jockey
147,flasher,7.8,0,nina mashurova,,0,21,11,2016,experimental,sister polygon
148,flasher,7.8,0,nina mashurova,,0,21,11,2016,rock,sister polygon
149,leonard cohen,9.5,0,dorian lynskey,,6,20,11,2016,rock,columbia
150,tinashe,7.8,0,rebecca haithcoat,contributor,5,19,11,2016,pop/r&b,rca
151,various artists,7.7,0,louis pattison,contributor,5,19,11,2016,,light in the attic
152,papa m,7.4,0,marc masters,contributor,5,19,11,2016,rock,drag city
153,yaroze dream suite,6.5,0,jonathan patrick,contributor,5,19,11,2016,electronic,local action
154,thee oh sees,6.7,0,evan rytlewski,contributor,4,18,11,2016,rock,castle face
155,lorenzo senni,7.5,0,andy beta,contributor,4,18,11,2016,electronic,warp
156,marching church,6.4,0,zoe camp,contributor,4,18,11,2016,rock,sacred bones
157,devonwho,6.5,0,benjamin scheim,contributor,4,18,11,2016,rap,leaving
158,a tribe called quest,9.0,1,kris ex,contributor,3,17,11,2016,rap,epic
159,sad13,7.4,0,quinn moreland,assistant editor,3,17,11,2016,pop/r&b,carpark
160,j.g. biberkopf,6.3,0,louis pattison,contributor,3,17,11,2016,electronic,knives
161,animals as leaders,6.4,0,sam sodomsky,associate staff writer,3,17,11,2016,metal,sumerian
162,washington phillips,8.5,1,mike powell,contributor,2,16,11,2016,folk/country,dust-to-digital
163,dedekind cut,8.2,0,thea ballard,contributor,2,16,11,2016,experimental,hospital
164,dedekind cut,8.2,0,thea ballard,contributor,2,16,11,2016,experimental,non
165,michael mayer,7.7,0,philip sherburne,contributing editor,2,16,11,2016,electronic,!k7
166,mantra percussion,6.8,0,seth colter walls,contributor,2,16,11,2016,experimental,cantaloupe
167,french montana,7.0,0,paul a. thompson,contributor,1,15,11,2016,rap,bad boy
168,french montana,7.0,0,paul a. thompson,contributor,1,15,11,2016,rap,coke boys
169,french montana,7.0,0,paul a. thompson,contributor,1,15,11,2016,rap,epic
170,hart valley drifters,7.8,0,jesse jarnow,contributor,1,15,11,2016,folk/country,ato
171,hart valley drifters,7.8,0,jesse jarnow,contributor,1,15,11,2016,folk/country,round
172,emeli sand,5.4,0,katherine st. asaph,contributor,1,15,11,2016,pop/r&b,virgin
173,ken thomson,7.9,0,seth colter walls,contributor,1,15,11,2016,experimental,cantaloupe
174,philip glass,8.6,1,seth colter walls,contributor,0,14,11,2016,experimental,sony classical
175,bibi bourelly,6.8,0,katherine st. asaph,contributor,0,14,11,2016,pop/r&b,def jam
176,loscil,7.4,0,brian burlage,,0,14,11,2016,electronic,kranky
177,loscil,7.4,0,brian burlage,,0,14,11,2016,global,kranky
178,loscil,7.4,0,brian burlage,,0,14,11,2016,rock,kranky
179,peter stampfel,7.9,0,jesse jarnow,contributor,0,14,11,2016,folk/country,don giovanni
180,"okkyung lee, christian marclay",8.0,0,seth colter walls,contributor,0,14,11,2016,electronic,northern spy
181,"okkyung lee, christian marclay",8.0,0,seth colter walls,contributor,0,14,11,2016,experimental,northern spy
182,"okkyung lee, christian marclay",8.0,0,seth colter walls,contributor,0,14,11,2016,jazz,northern spy
183,"okkyung lee, christian marclay",8.0,0,seth colter walls,contributor,0,14,11,2016,rock,northern spy
184,minutemen,9.5,0,marc masters,contributor,6,13,11,2016,rock,sst
185,various artists,6.0,0,kevin lozano,tracks coordinator,5,12,11,2016,,milan
186,the men,6.8,0,john s.w. macdonald,contributor,5,12,11,2016,rock,we are the men
187,oren ambarchi,7.5,0,nathan reese,contributor,5,12,11,2016,experimental,editions mego
188,jacuzzi boys,6.6,0,saby reyes-kulkarni,contributor,5,12,11,2016,rock,mag mag
189,hudson mohawke,7.2,0,philip sherburne,contributing editor,4,11,11,2016,electronic,warp
190,kool a.d.,6.0,0,renato pagnani,contributor,4,11,11,2016,rap,dum shiny
191,rachel's,8.5,1,benjamin scheim,contributor,4,11,11,2016,rock,quarterstick
192,helmet,6.8,0,saby reyes kulkarni,contributor,4,11,11,2016,metal,earmusic
193,alicia keys,6.5,0,vanessa okoth-obbo,contributor,3,10,11,2016,pop/r&b,rca
194,topaz jones,7.2,0,matthew ramirez,contributor,3,10,11,2016,rap,new funk academy
195,gaika,7.8,0,kevin lozano,tracks coordinator,3,10,11,2016,rap,warp
196,uniform,7.2,0,raymond cummings,contributor,3,10,11,2016,rock,sacred bones
197,the chainsmokers,3.5,0,kevin lozano,tracks coordinator,2,9,11,2016,electronic,columbia
198,the chainsmokers,3.5,0,kevin lozano,tracks coordinator,2,9,11,2016,electronic,disruptor
199,tyvek,7.8,0,evan minsker,deputy news editor,2,9,11,2016,,in the red
200,tim buckley,6.3,0,andy beta,contributor,2,9,11,2016,rock,light in the attic
201,mary halvorson,8.0,0,seth colter walls,contributor,2,9,11,2016,jazz,firehouse 12
202,sleigh bells,5.9,0,evan rytlewski,contributor,1,8,11,2016,pop/r&b,torn clean
203,jeezy,6.0,0,evan rytlewski,contributor,1,8,11,2016,rap,def jam
204,jeezy,6.0,0,evan rytlewski,contributor,1,8,11,2016,rap,yj
205,shirley collins,8.0,0,louis pattison,contributor,1,8,11,2016,folk/country,domino
206,kadhja bonet,7.2,0,marcus k. dowling,,1,8,11,2016,pop/r&b,fat possum
207,kadhja bonet,7.2,0,marcus k. dowling,,1,8,11,2016,pop/r&b,fresh selects
208,soft hair,6.8,0,andy beta,contributor,1,8,11,2016,pop/r&b,weird world
209,jim james,7.9,0,ryan leas,,0,7,11,2016,rock,ato
210,jim james,7.9,0,ryan leas,,0,7,11,2016,rock,capitol
211,a$ap mob,7.1,0,matthew strauss,associate editor,0,7,11,2016,rap,a$ap worldwide
212,a$ap mob,7.1,0,matthew strauss,associate editor,0,7,11,2016,rap,polo grounds
213,a$ap mob,7.1,0,matthew strauss,associate editor,0,7,11,2016,rap,rca
214,lou barlow,6.5,0,saby reyes-kulkarni,contributor,0,7,11,2016,rock,joyful noise
215,mannequin pussy,7.6,0,raymond cummings,contributor,0,7,11,2016,rock,tiny engines
216,abba,8.6,0,simon goddard,,6,6,11,2016,pop/r&b,polar
217,fugees,7.6,0,sheldon pearce,associate staff writer,5,5,11,2016,rap,music on vinyl
218,"sun ra, merzbow",7.3,0,marc masters,contributor,5,5,11,2016,experimental,cold spring
219,"sun ra, merzbow",7.3,0,marc masters,contributor,5,5,11,2016,jazz,cold spring
220,oddcouple,7.2,0,jay balfour,contributor,5,5,11,2016,rap,closed sessions
221,the dean ween group,6.0,0,matthew grosinger,contributor,5,5,11,2016,rock,ato
222,common,7.9,0,edwin stats houghton,,4,4,11,2016,rap,def jam
223,common,7.9,0,edwin stats houghton,,4,4,11,2016,rap,umg
224,ricky eat acid,7.3,0,matthew grosinger,contributor,4,4,11,2016,electronic,terrible
225,rich the kid,6.5,0,mehan jayasuriya,contributor,4,4,11,2016,rap,self-released
226,carla dal forno,7.4,0,saby reyes-kulkarni,contributor,4,4,11,2016,electronic,blackest ever black
227,pussy riot,6.6,0,nina mashurova,,3,3,11,2016,rock,big deal
228,pussy riot,6.6,0,nina mashurova,,3,3,11,2016,rock,federal prism
229,pussy riot,6.6,0,nina mashurova,,3,3,11,2016,rock,nice life
230,huerco s.,7.7,0,philip sherburne,contributing editor,3,3,11,2016,experimental,quiet time
231,otis redding,9.0,0,stephen thomas erlewine,contributor,3,3,11,2016,pop/r&b,stax
232,the olympians,6.8,0,jay balfour,contributor,3,3,11,2016,pop/r&b,daptone
233,meek mill,6.9,0,matthew ismael ruiz,contributor,2,2,11,2016,rap,maybach
234,miles davis quintet,7.5,0,michael j. agovino,,2,2,11,2016,jazz,columbia
235,miles davis quintet,7.5,0,michael j. agovino,,2,2,11,2016,jazz,legacy
236,kassem mosse,7.9,0,philip sherburne,contributing editor,2,2,11,2016,electronic,honest jon's
237,the dillinger escape plan,6.9,0,saby reyes-kulkarni,contributor,2,2,11,2016,metal,cooking vinyl
238,the dillinger escape plan,6.9,0,saby reyes-kulkarni,contributor,2,2,11,2016,metal,party smasher inc.
239,public image ltd,10.0,1,simon reynolds,contributor,1,1,11,2016,rock,universal
240,american wrestlers,7.1,0,brian burlage,,1,1,11,2016,rock,fat possum
241,tove lo,7.0,0,katherine st. asaph,contributor,1,1,11,2016,pop/r&b,island
242,steve hauschildt,7.6,0,philip sherburne,contributing editor,1,1,11,2016,electronic,kranky
243,lambchop,8.0,0,sam sodomsky,associate staff writer,0,31,10,2016,rock,merge
244,roman flgel,7.8,0,philip sherburne,contributing editor,0,31,10,2016,electronic,dial
245,dj rude one,6.9,0,dean van nguyen,contributor,0,31,10,2016,rap,closed sessions
246,syrinx,8.2,0,andy beta,contributor,0,31,10,2016,electronic,rvng intl.
247,khemmis,7.6,0,andy o'connor,contributor,0,31,10,2016,metal,20 buck spin
248,bob dylan,10.0,0,jesse jarnow,contributor,6,30,10,2016,rock,columbia
249,joe budden,6.0,0,jay balfour,contributor,5,29,10,2016,rap,empire
250,joe budden,6.0,0,jay balfour,contributor,5,29,10,2016,rap,mood muzik
251,gord downie,8.0,0,brad nelson,contributor,5,29,10,2016,rock,arts & crafts
252,roy montgomery,8.1,0,marc masters,contributor,5,29,10,2016,rock,grapefruit
253,"patrick cowley, candida royalle",7.6,0,andy beta,contributor,5,29,10,2016,electronic,dark entries
254,d.r.a.m.,7.8,0,jayson greene,senior editor,4,28,10,2016,rap,atlantic
255,d.r.a.m.,7.8,0,jayson greene,senior editor,4,28,10,2016,rap,empire
256,d.r.a.m.,7.8,0,jayson greene,senior editor,4,28,10,2016,rap,w.a.v.e. recordings
257,the radio dept.,7.6,0,cameron cook,contributor,4,28,10,2016,pop/r&b,labrador
258,luis,6.8,0,louis pattison,contributor,4,28,10,2016,electronic,1080p
259,donny mccaslin,6.4,0,seth colter walls,contributor,4,28,10,2016,jazz,motma
260,various artists,6.2,0,douglas wolk,contributor,3,27,10,2016,,columbia
261,various artists,6.2,0,douglas wolk,contributor,3,27,10,2016,,iso
262,various artists,6.2,0,douglas wolk,contributor,3,27,10,2016,,rca
263,david crosby,6.5,0,stephen thomas erlewine,,3,27,10,2016,rock,groundup
264,david crosby,6.5,0,stephen thomas erlewine,,3,27,10,2016,rock,verve
265,jojo,7.0,0,vanessa okoth-obbo,contributor,3,27,10,2016,pop/r&b,atlantic
266,n.m.o.,7.5,0,alexander iadarola,,3,27,10,2016,electronic,diagonal
267,american football,7.7,0,ian cohen,contributor,2,26,10,2016,rock,polyvinyl
268,american football,7.7,0,ian cohen,contributor,2,26,10,2016,rock,wichita
269,sleaford mods,6.7,0,saby reyes-kulkarni,contributor,2,26,10,2016,rock,rough trade
270,jubilee,7.4,0,minna zhou,contributor,2,26,10,2016,electronic,mixpak
271,crying,7.1,0,colin joyce,contributor,2,26,10,2016,electronic,run for cover
272,lady gaga,6.9,0,amanda petrusich,contributor,1,25,10,2016,pop/r&b,interscope
273,lady gaga,6.9,0,amanda petrusich,contributor,1,25,10,2016,pop/r&b,streamline
274,tanya tagaq,8.2,0,stuart berman,contributor,1,25,10,2016,rock,
275,oval,7.5,0,ben scheim,contributor,1,25,10,2016,electronic,uovooo
276,oval,7.5,0,ben scheim,contributor,1,25,10,2016,experimental,uovooo
277,jonathan finlayson & sicilian defense,8.1,0,seth colter walls,contributor,1,25,10,2016,jazz,pi
278,leonard cohen,8.5,1,stacey anderson,associate features editor,0,24,10,2016,rock,columbia
279,leonard cohen,8.5,1,stacey anderson,associate features editor,0,24,10,2016,rock,sony
280,male bonding,6.8,0,evan rytlewski,contributor,0,24,10,2016,,self-released
281,savoy motel,7.4,0,stuart berman,contributor,0,24,10,2016,rock,what's your rupture?
282,oozing wound,6.6,0,saby reyes-kulkarni,contributor,0,24,10,2016,,thrill jockey
283,from indian lakes,7.0,0,ian cohen,contributor,0,24,10,2016,rock,triple crown
284,ramones,6.4,0,evan minsker,deputy news editor,6,23,10,2016,rock,sire
285,jimmy eat world,7.3,0,ian cohen,contributor,5,22,10,2016,rock,rca
286,various artists,6.0,0,stephen m. deusner,contributor,5,22,10,2016,,american laundromat
287,meshuggah,6.5,0,saby reyes-kulkarni,contributor,5,22,10,2016,metal,nuclear blast
288,axis: sova,6.7,0,john s.w. macdonald,contributor,5,22,10,2016,rock,drag city
289,axis: sova,6.7,0,john s.w. macdonald,contributor,5,22,10,2016,rock,god?
290,gucci mane,7.5,0,israel daramola,contributor,4,21,10,2016,rap,atlantic
291,moby & the void pacific choir,4.0,0,andy beta,contributor,4,21,10,2016,electronic,mute
292,kag,7.2,0,thea ballard,contributor,4,21,10,2016,electronic,sister polygon
293,gods wisdom,4.9,0,matthew ramirez,contributor,4,21,10,2016,rap,self-released
294,kings of leon,4.5,0,ryan leas,,3,20,10,2016,rock,rca
295,katie gately,7.3,0,claire lobenfeld,contributor,3,20,10,2016,electronic,tri angle
296,jagwar ma,6.9,0,nathan reese,contributor,3,20,10,2016,rock,mom & pop
297,matt kivel,7.0,0,evan rytlewski,contributor,3,20,10,2016,folk/country,driftless
298,weyes blood,8.3,1,jillian mapes,senior editor,2,19,10,2016,rock,mexican summer
299,boogie,7.8,0,dean van nguyen,contributor,2,19,10,2016,rap,interscope
300,powell,8.1,0,philip sherburne,contributing editor,2,19,10,2016,electronic,xl
301,wife,7.0,0,saby reyes-kulkarni,contributor,2,19,10,2016,,profound lore
302,nxworries,8.2,1,jonah bromwich,contributor,1,18,10,2016,pop/r&b,stones throw
303,regina spektor,6.6,0,katherine st. asaph,contributor,1,18,10,2016,rock,sire
304,darkthrone,7.2,0,zoe camp,contributor,1,18,10,2016,metal,peaceville
305,mark ernestus' ndagga rhythm force,8.0,0,andy beta,contributor,1,18,10,2016,global,ndagga
306,jamie lidell,6.2,0,evan rytlewski,contributor,0,17,10,2016,pop/r&b,jajulin
307,terry allen,8.5,0,stephen thomas erlewine,,0,17,10,2016,folk/country,paradise of bachelors
308,mono,5.9,0,evan rytlewski,contributor,0,17,10,2016,rock,temporary residence
309,wadada leo smith,7.9,0,seth colter walls,contributor,0,17,10,2016,jazz,cuneiform
310,warehouse,7.4,0,quinn moreland,assistant editor,0,17,10,2016,rock,bayonet
311,randy newman,9.3,0,winston cook-wilson,contributor,6,16,10,2016,rock,reprise
312,the orb,6.0,0,andy beta,contributor,5,15,10,2016,electronic,kompakt
313,lizzo,6.1,0,vanessa okoth-obbo,contributor,5,15,10,2016,rap,atlantic
314,lizzo,6.1,0,vanessa okoth-obbo,contributor,5,15,10,2016,rap,nice life
315,marie davidson,8.0,0,kevin lozano,tracks coordinator,5,15,10,2016,electronic,cititrax
316,purling hiss,6.8,0,marc masters,contributor,5,15,10,2016,rock,drag city
317,johnny jewel,6.0,0,kevin lozano,tracks coordinator,4,14,10,2016,electronic,italians do it better
318,the shaggs,8.6,1,quinn moreland,assistant editor,4,14,10,2016,rock,light in the attic
319,pat thomas,7.2,0,saby reyes-kulkarni,contributor,4,14,10,2016,global,strut
